,province,model,Score_train,score_test
0,Bale,RandomForest,0.967985129546951,0.17706687726892756
1,Bale,DecisionTree,1.0,-1.4361633348849097
2,Bale,RidgeCV,0.9999631701171658,0.7591644508092468
3,Bale,Lasso,0.0,-5.549421764310363
0,Banwa,RandomForest,0.9616274974798271,0.9416573502427099
1,Banwa,DecisionTree,1.0,0.7479807060841833
2,Banwa,RidgeCV,0.9992640213212626,0.9780518663973659
3,Banwa,Lasso,0.0,-0.01856609846465429
0,Kossi,RandomForest,0.9518144371713221,0.8360462350346922
1,Kossi,DecisionTree,1.0,0.978498449143287
2,Kossi,RidgeCV,0.9999115571216434,0.9167099435949441
3,Kossi,Lasso,0.0,-0.09601487913855555
0,Mouhoun,RandomForest,0.9390233170823608,0.915473274861242
1,Mouhoun,DecisionTree,1.0,0.9197123389684968
2,Mouhoun,RidgeCV,0.9996413780179721,0.9426955433206076
3,Mouhoun,Lasso,0.0,-0.09057174245053767
0,Nayala,RandomForest,0.9372263742239886,0.9792950306494396
1,Nayala,DecisionTree,1.0,0.2879630465465064
2,Nayala,RidgeCV,0.9997618897127158,0.8827005281322446
3,Nayala,Lasso,0.0,-0.0809551553458161
0,Sourou,RandomForest,0.9337074481746266,0.9322532053736216
1,Sourou,DecisionTree,1.0,0.9142024006583302
2,Sourou,RidgeCV,0.9969250642762537,0.5727666589353709
3,Sourou,Lasso,0.0,-0.09057174245053767
0,Comoe,RandomForest,0.9645690796129679,0.7789690114174026
1,Comoe,DecisionTree,1.0,0.3806830987238501
2,Comoe,RidgeCV,0.9995818775736656,0.997633886636579
3,Comoe,Lasso,0.0,-0.7341821265229433
0,Leraba,RandomForest,0.9696534043070375,0.7270568271840071
1,Leraba,DecisionTree,1.0,0.2891796497210244
2,Leraba,RidgeCV,0.9999100526848647,0.7336637692167516
3,Leraba,Lasso,0.0,-1.8101694569283566e-05
0,Boulgou,RandomForest,0.9795970110716099,0.40241603895513167
1,Boulgou,DecisionTree,1.0,0.8981966238815396
2,Boulgou,RidgeCV,0.9995768673041141,0.8632237766557543
3,Boulgou,Lasso,0.0,-1.0777275927374745
0,Koulpelogo,RandomForest,0.9683234858323655,0.49984468608383326
1,Koulpelogo,DecisionTree,1.0,-0.7444202048827597
2,Koulpelogo,RidgeCV,0.9922553378338314,0.7104894983777063
3,Koulpelogo,Lasso,0.0,-1.5872089910630258
0,Kouritenga,RandomForest,0.9413689285171386,0.8015495168316076
1,Kouritenga,DecisionTree,1.0,0.9682248193067987
2,Kouritenga,RidgeCV,0.9999822661896858,0.8097180910360041
3,Kouritenga,Lasso,0.0,-0.23233989458036008
0,Bam,RandomForest,0.9147396365546301,0.7286357037037061
1,Bam,DecisionTree,1.0,0.5555555555555556
2,Bam,RidgeCV,0.9922770657656644,0.7786449045986251
3,Bam,Lasso,0.0,-0.15976331360946738
0,Namentenga,RandomForest,0.9595371306818182,0.1935313088235251
1,Namentenga,DecisionTree,1.0,0.3529411764705882
2,Namentenga,RidgeCV,0.8116061686313546,0.48144767562476387
3,Namentenga,Lasso,0.0,-0.47650539505743117
0,Sanmatenga,RandomForest,0.9476823989361701,0.7923967428571421
1,Sanmatenga,DecisionTree,1.0,1.0
2,Sanmatenga,RidgeCV,0.9954470093482056,0.6444216388097912
3,Sanmatenga,Lasso,0.0,-0.008284023668639007
0,Boulkiemde,RandomForest,0.9497929447882539,0.1688717072389646
1,Boulkiemde,DecisionTree,1.0,-0.6710567610242282
2,Boulkiemde,RidgeCV,0.9998612026873794,0.8431394585679491
3,Boulkiemde,Lasso,0.0,-2.1074331613104422
0,Sanguie,RandomForest,0.9327628864525334,0.75718329435957
1,Sanguie,DecisionTree,1.0,0.6626943743756866
2,Sanguie,RidgeCV,0.9338749847014689,0.5430889746382124
3,Sanguie,Lasso,0.0,-0.04395902587361089
0,Sissili,RandomForest,0.9576902340744317,0.5888007973193088
1,Sissili,DecisionTree,1.0,0.8986087916357832
2,Sissili,RidgeCV,0.999987970252207,0.762314240273366
3,Sissili,Lasso,0.0,-0.23233989458036008
0,Ziro,RandomForest,0.9377698666666665,0.5102440350665105
1,Ziro,DecisionTree,1.0,0.4921402660217654
2,Ziro,RidgeCV,0.9999177622567403,0.8663747271204483
3,Ziro,Lasso,0.0,-0.02490644877399628
0,Bazega,RandomForest,0.9369091111320836,0.7302087440820637
1,Bazega,DecisionTree,1.0,0.9762381744605803
2,Bazega,RidgeCV,0.9999818817902089,0.9080092019167381
