province,year,driver.TSA,Driver.TNA,sahel_rainfall,QBO,NAO,gmsst,EA,AMM_sst,Driver.NTA,AMO_sst,Driver.AO,PDO,PRCPTOT,R10mm,R1mm,R20mm,R5mm,R95pTOT,R99pTOT,RX1day,RX5day,SDII,CWD,CDD,TNn,TNx,TXx,TXn,Chirts_Tmax_Temp,Chirts_Tmin_Temp,ERA5_Pressure,ERA5_wins,chirps_Prec,ERA5_soil_moisture,NDVI,Mil.rendement
Bale,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,469.3733304,21,51,5,33,0,0,40.26341248,26.89958601,9.203398635,7,11,21.90798556,24.98830295,34.2738197,27.48022318,30.92227105,23.199671,101164.2983,2.297034093,758.1661104,0.387494465,0.161495407,966.11
Bam,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,373.5382931,15,38,5,27,56.6726487,0,41.46664429,32.45852905,9.829955081,6,8,22.90161725,26.65192561,37.9700077,29.03045966,33.31550552,24.43782784,101080.2082,2.486396069,512.2593467,0.216186079,0.087916165,428
Bale,2001,0.403333333,0.116666667,41,-20.67666667,-0.003333333,0.663333333,0.456666667,-1.39,-0.01,0.047,0.447666667,-0.36,601.2061307,22,52,8,40,136.4175969,39.81489676,59.13676834,39.81489676,11.56165636,5,9,21.78277116,25.33113769,35.2541526,27.16069439,30.98246508,23.64884105,101230.8929,2.354357883,834.7620641,0.384737221,0.151293227,979.6
Banwa,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,475.6882082,20,53,2,37,34.11773489,0,48.87520981,34.11773489,8.97524921,9,8,22.02699218,25.09351832,35.1268164,27.88179012,31.13004084,23.34721423,101163.6513,2.308839563,714.1851737,0.325073916,0.157604918,956.89
Bale,2002,0.376666667,-0.113333333,-74.66666667,13.81666667,0.56,0.773333333,0.106666667,-3.733333333,-0.12,-0.058,0.574,-0.433333333,489.5061426,24,50,3,32,0,0,53.21918488,28.98417277,9.790122852,8,12,22.04447045,25.93121671,35.41892055,26.51589355,31.16291261,23.8545378,101202.3614,2.423179918,728.5714956,0.361794114,0.126204606,850.5
Bazega,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,380.7044691,14,49,2,29,0,0,38.56986618,26.80119681,7.769478962,4,8,22.55951063,25.79031783,36.41264433,28.57380871,31.95097548,24.02882733,101155.1001,2.347257123,667.2936928,0.330751445,0.146776792,511
Bale,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,665.6273404,27,61,10,40,102.9261453,0,54.47842407,36.29253944,10.91192361,11,11,22.36789809,25.07545197,34.787297,27.41890412,30.63492246,23.67967757,101230.9542,2.166261305,970.8038507,0.391509703,0.149063929,798.7
Kossi,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,405.8145265,17,50,1,32,0,0,36.87583923,23.84875681,8.11629053,7,10,22.42589288,25.75863601,37.02473192,28.54276091,32.24703716,23.96605023,101115.5259,2.279619446,609.1837538,0.296759337,0.125619745,550
Bale,2004,-0.153333333,0.3,1.333333333,11.72666667,0.25,0.64,0.24,1.613333333,0.15,0.085,-0.246333333,0.496666667,466.948457,20,45,4,34,66.51305351,0,51.7437973,37.00380224,10.37663238,7,16,21.940612,25.40248733,35.16009393,27.95500536,30.95085468,23.57725874,101217.1807,2.198681891,685.9411444,0.362600873,0.310957772,1155.1
Bougouriba,2000,0.286666667,-0.076666667,-1.333333333,-1.613333333,0.54,0.626666667,-0.11,-1.9,-0.206666667,0.031,0.425333333,-0.046666667,628.527262,26,53,8,42,30.28957893,0,47.12130737,33.55254299,11.85900494,9,6,21.40759878,24.12814623,33.33885647,27.12314465,30.09983405,22.66707887,101197.1636,2.245295568,974.5942887,0.349190417,0.208353292,677
