,provinces,model,Score_train,score_test
0,Bale,RandomForest,0.8650738950655814,0.42987649129091154
1,Bale,DecisionTree,1.0,0.33325220281468615
2,Bale,RidgeCV,0.8198495635116946,0.17135539528089283
3,Bale,Lasso,0.9961508714526742,-0.2429360716382818
0,Banwa,RandomForest,0.9180285007451364,-1.042291271344185
1,Banwa,DecisionTree,1.0,-1.7175232318344755
2,Banwa,RidgeCV,0.9999688855167912,-1.3904823090713152
3,Banwa,Lasso,0.9981378609690573,-1.7964637743668006
0,Kossi,RandomForest,0.8518776483482151,-9.25415513218732
1,Kossi,DecisionTree,1.0,-8.90157357819142
2,Kossi,RidgeCV,0.8972498939914405,-8.15217214853198
3,Kossi,Lasso,0.9949376535509021,-9.471368188721804
0,Mouhoun,RandomForest,0.849456941622876,-10.285312152011748
1,Mouhoun,DecisionTree,1.0,-4.525095709982818
2,Mouhoun,RidgeCV,0.8623249859436032,-4.419014239685416
3,Mouhoun,Lasso,0.9966393727015304,-1.9794977141665409
0,Nayala,RandomForest,0.8483418191671642,-6.072859763864534
1,Nayala,DecisionTree,1.0,-17.84046364764496
2,Nayala,RidgeCV,0.7740852519280813,-1.879997736792291
3,Nayala,Lasso,0.9972600583190115,-5.468957253547619
0,Sourou,RandomForest,0.8676387548376856,-13.22097192588301
1,Sourou,DecisionTree,1.0,-28.600666797825674
2,Sourou,RidgeCV,0.8048617114782523,-15.006977469440368
3,Sourou,Lasso,0.9975054268371217,-18.139445764416838
0,Comoe,RandomForest,0.7988661515501848,-1.145882984354904
1,Comoe,DecisionTree,1.0,-0.8616879840303338
2,Comoe,RidgeCV,0.6627952757022871,-0.2644196012269149
3,Comoe,Lasso,0.9953561697204077,-1.6211519235573832
0,Leraba,RandomForest,0.8617487388772773,-1.2338267454363794
1,Leraba,DecisionTree,1.0,-0.6805123338862262
2,Leraba,RidgeCV,0.9999566096538594,-1.2056107702686978
3,Leraba,Lasso,0.9940714509175171,-2.6576702726864787
0,Boulgou,RandomForest,0.8382615871087732,-0.10490006703636467
1,Boulgou,DecisionTree,1.0,0.4384047973531152
2,Boulgou,RidgeCV,0.7533060293728988,0.30465472517944103
3,Boulgou,Lasso,0.9923557242288106,-1.7396348265898354
0,Koulpelogo,RandomForest,0.850063897716157,-0.7042470852645255
1,Koulpelogo,DecisionTree,1.0,-2.6189754467238116
2,Koulpelogo,RidgeCV,0.9950119892051287,-4.962998626730038
3,Koulpelogo,Lasso,0.9969246912512143,-6.631528776014326
0,Kouritenga,RandomForest,0.853308478255125,0.25777665846438746
1,Kouritenga,DecisionTree,1.0,-0.12007661272102332
2,Kouritenga,RidgeCV,0.7292437604237774,0.43106724246825134
3,Kouritenga,Lasso,0.9947446206577676,-0.8765765032272388
0,Bam,RandomForest,0.8482118809316622,-3.199501064162072
1,Bam,DecisionTree,1.0,-7.394947458394549
2,Bam,RidgeCV,0.8538733383517,-2.6173172363163806
3,Bam,Lasso,0.9948695863207617,-1.7869157090247336
0,Namentenga,RandomForest,0.8204778566207476,-0.6924865684294359
1,Namentenga,DecisionTree,1.0,-1.380225361111238
2,Namentenga,RidgeCV,0.7186838422463413,-0.25586071876408445
3,Namentenga,Lasso,0.9934862701502546,0.36842364819279383
0,Sanmatenga,RandomForest,0.889502641704793,-2.4462057191106803
1,Sanmatenga,DecisionTree,1.0,-0.30198716348392196
2,Sanmatenga,RidgeCV,0.9999813637831528,-3.979654467046072
3,Sanmatenga,Lasso,0.999207587174903,-4.424952552741167
0,Boulkiemde,RandomForest,0.8758412625623564,0.5315474354117735
1,Boulkiemde,DecisionTree,1.0,-0.2776565978892718
2,Boulkiemde,RidgeCV,0.8329049439833324,-3.463426593838256
3,Boulkiemde,Lasso,0.9958129468519716,-6.584908913497811
0,Sanguie,RandomForest,0.8967548262290042,0.7692605495071718
1,Sanguie,DecisionTree,1.0,0.04398931302289022
2,Sanguie,RidgeCV,0.871646489432825,-0.2137209745831108
3,Sanguie,Lasso,0.9987477006188179,-0.26852813445413903
0,Sissili,RandomForest,0.8271146301368623,-0.07983555927604291
1,Sissili,DecisionTree,1.0,-0.6427444651461216
2,Sissili,RidgeCV,0.8426552652222827,-0.5515824398597637
3,Sissili,Lasso,0.9964818791827437,-0.5540023044351521
0,Ziro,RandomForest,0.835100162189425,-1.0420360763299144
1,Ziro,DecisionTree,1.0,-3.4183633142090537
2,Ziro,RidgeCV,0.9999408678683058,-5.427063295600509
3,Ziro,Lasso,0.9971561618357857,-1.295667851774244
0,Bazega,RandomForest,0.8247689737971122,0.12201312710757939
1,Bazega,DecisionTree,1.0,-2.4818696581572026
2,Bazega,RidgeCV,0.9918708839498287,0.47670034256568095
3,Bazega,Lasso,0.9910414374237684,0.6056661722874896
0,Nahouri,RandomForest,0.8241067237398255,-0.21721790806924335
1,Nahouri,DecisionTree,1.0,-0.5352163798033642
2,Nahouri,RidgeCV,0.8474653018760332,-0.18835135362078126
3,Nahouri,Lasso,0.9964426124176298,-6.4530227254273616
0,Zoundweogo,RandomForest,0.8774475886542997,0.6531365774182796
1,Zoundweogo,DecisionTree,1.0,0.1662194213553786
2,Zoundweogo,RidgeCV,0.8192911182931095,0.20967772280713204
3,Zoundweogo,Lasso,0.9973467618553014,0.7158276411042659
0,Kadiogo,RandomForest,0.8861775947810245,0.5671903599034935
1,Kadiogo,DecisionTree,1.0,0.39729767602312394
2,Kadiogo,RidgeCV,0.8720143255004793,0.8768242142490456
3,Kadiogo,Lasso,0.9994315967184775,0.9667301890942769
0,Gnagna,RandomForest,0.8630792014004723,-0.11418613593537619
1,Gnagna,DecisionTree,1.0,-0.31841281530823373
2,Gnagna,RidgeCV,0.9999396064280263,-0.1770462916948874
3,Gnagna,Lasso,0.996726197803025,-0.2106685840251905
0,Gourma,RandomForest,0.823186562298874,0.34838816531084427
1,Gourma,DecisionTree,1.0,-1.3264252578231956
2,Gourma,RidgeCV,0.7397596519530165,0.4281329579124462
3,Gourma,Lasso,0.9937495856561517,0.7694868389498083
0,Komandjoari,RandomForest,0.8488416983655106,-0.8529505554496954
1,Komandjoari,DecisionTree,1.0,-2.810220263437292
2,Komandjoari,RidgeCV,0.8308069443773798,-5.735022342354129
3,Komandjoari,Lasso,0.9982307090534964,-1.1426243038923873
0,Kompienga,RandomForest,0.8346822540126542,0.747968758811278
1,Kompienga,DecisionTree,1.0,-1.5436132174711474
2,Kompienga,RidgeCV,0.9049183610652247,-1.161664730890636
3,Kompienga,Lasso,0.9972914424886491,-0.09841911447575735
0,Tapoa,RandomForest,0.874342076046395,-0.9469466179660166
1,Tapoa,DecisionTree,1.0,-0.6193828132151584
2,Tapoa,RidgeCV,0.9999622111861747,-0.5086444484673522
3,Tapoa,Lasso,0.9988553891671061,-2.7633903739709273
0,Houet,RandomForest,0.8488952688846785,-1.9563278419283758
1,Houet,DecisionTree,1.0,-9.513329151557029
2,Houet,RidgeCV,0.770142603192918,-2.3963770026222435
3,Houet,Lasso,0.9942128967930374,-4.231677919637887
0,Kenedougou,RandomForest,0.8959733047555174,-1.006456433292425
1,Kenedougou,DecisionTree,1.0,-0.10779390132913025
2,Kenedougou,RidgeCV,0.9999429795423191,-1.3688181056775908
3,Kenedougou,Lasso,0.9976282798401824,-1.9130494752292275
0,Tuy,RandomForest,0.9059057135548154,0.40978815175194383
1,Tuy,DecisionTree,1.0,0.48247849454535097
2,Tuy,RidgeCV,0.9999738221744074,0.36004025581729493
3,Tuy,Lasso,0.9983511191465502,0.3822366735543712
0,Loroum,RandomForest,0.8954886511447201,-0.22940202265981302
1,Loroum,DecisionTree,1.0,-0.8726433656372965
2,Loroum,RidgeCV,0.918434015765679,-0.00415079423997633
3,Loroum,Lasso,0.9966094999908154,-0.46069262819658574
0,Passore,RandomForest,0.8906462441902399,-0.9920116761332383
1,Passore,DecisionTree,1.0,-2.025853975559115
2,Passore,RidgeCV,0.9999638907009748,-1.2406317764407362
3,Passore,Lasso,0.9981229903250927,-0.8560404563037791
0,Yatenga,RandomForest,0.8810016086321202,-2.0543646717323405
1,Yatenga,DecisionTree,1.0,-4.322650286288101
2,Yatenga,RidgeCV,0.999940219438102,-3.5384460545253695
3,Yatenga,Lasso,0.997430900200645,-0.6725819256943215
0,Zondoma,RandomForest,0.9305038049220726,-7.148577732260772
