,provinces,model,Score_train,score_test
0,Bale,RandomForest,0.877655693484159,-1.7572816505019397
1,Bale,DecisionTree,1.0,-6.781255954688303
2,Bale,RidgeCV,0.8228915860867271,-2.8531123899211686
3,Bale,Lasso,0.9910462656308823,0.19956113420582655
0,Banwa,RandomForest,0.8086692772702848,-0.10730168015187558
1,Banwa,DecisionTree,1.0,-0.48104256784827126
2,Banwa,RidgeCV,0.671699536605332,-0.815992900321926
3,Banwa,Lasso,0.9586599000739855,-0.7607383653667203
0,Kossi,RandomForest,0.8894862400683604,0.538680875604636
1,Kossi,DecisionTree,1.0,0.22236657945464733
2,Kossi,RidgeCV,0.9999695483831618,0.5885627304779726
3,Kossi,Lasso,0.9895175516067793,0.4136782028590009
0,Mouhoun,RandomForest,0.8527897446488557,-4.485757268897437
1,Mouhoun,DecisionTree,1.0,-13.59011403230044
2,Mouhoun,RidgeCV,0.6280191951637357,-0.8656985507353914
3,Mouhoun,Lasso,0.9900813104682938,-0.6972041162677509
0,Nayala,RandomForest,0.8303873460327328,-0.13173659869174692
1,Nayala,DecisionTree,1.0,-1.7732106070824485
2,Nayala,RidgeCV,0.8025273466920347,-0.04754741310561994
3,Nayala,Lasso,0.9869625219045063,-0.7169651536735839
0,Sourou,RandomForest,0.8421748874895882,-0.45689532098085084
1,Sourou,DecisionTree,1.0,-3.4235588805318082
2,Sourou,RidgeCV,0.8147417884535634,0.16202113364465542
3,Sourou,Lasso,0.9951710938191038,0.03234098387787465
0,Comoe,RandomForest,0.9020098717481186,-0.216294313197974
1,Comoe,DecisionTree,1.0,0.41575415038826624
2,Comoe,RidgeCV,0.9999509377592295,0.30516615238224
3,Comoe,Lasso,0.9982477795139607,-0.29652627732077463
0,Leraba,RandomForest,0.845279698350262,-65.53241773702682
1,Leraba,DecisionTree,1.0,-432.18719748916095
2,Leraba,RidgeCV,0.83685108278035,-5.820275734281562
3,Leraba,Lasso,0.9954354247220214,-0.2016341149298424
0,Boulgou,RandomForest,0.806882945421095,0.19683181198038624
1,Boulgou,DecisionTree,1.0,0.2816465457751096
2,Boulgou,RidgeCV,0.7168154382757868,0.632267880734571
3,Boulgou,Lasso,0.9856386128707434,0.44295812790651123
0,Koulpelogo,RandomForest,0.860315083332734,-1.4226374500809178
1,Koulpelogo,DecisionTree,1.0,-2.2658720654288427
2,Koulpelogo,RidgeCV,0.8347197122892814,-1.9061642539950112
3,Koulpelogo,Lasso,0.9969126655411106,-4.148252629830848
0,Kouritenga,RandomForest,0.8259452291375222,-0.06794738414429902
1,Kouritenga,DecisionTree,1.0,0.23158325903704913
2,Kouritenga,RidgeCV,0.791542442350151,0.17477267545644892
3,Kouritenga,Lasso,0.9914374010722304,-0.32252289773666476
0,Bam,RandomForest,0.8597820488119656,-1.3624604064049421
1,Bam,DecisionTree,1.0,-2.213876147998815
2,Bam,RidgeCV,0.800533174715282,-1.313013005668235
3,Bam,Lasso,0.9880095928745382,-0.7785661013161294
0,Namentenga,RandomForest,0.8998623408658684,-0.49838575152525744
1,Namentenga,DecisionTree,1.0,-0.4861063566143855
2,Namentenga,RidgeCV,0.8399880406222608,-0.7645450326192182
3,Namentenga,Lasso,0.9892900965604043,-0.49840838311068336
0,Sanmatenga,RandomForest,0.8525088538729225,-7.691509391440315
1,Sanmatenga,DecisionTree,1.0,-7.62255674898098
2,Sanmatenga,RidgeCV,0.8584122114083436,-10.810308885720929
3,Sanmatenga,Lasso,0.990206780731194,-15.00887775307822
0,Boulkiemde,RandomForest,0.829964876319445,-1.334939620534466
1,Boulkiemde,DecisionTree,1.0,-11.73579345691841
2,Boulkiemde,RidgeCV,0.8940217697478141,-2.609343965977721
3,Boulkiemde,Lasso,0.9872221059821463,-3.3377119816254304
0,Sanguie,RandomForest,0.8215707764746016,0.03985679324512914
1,Sanguie,DecisionTree,1.0,-0.24447741116410593
2,Sanguie,RidgeCV,0.9999794536747255,0.09295098113575817
3,Sanguie,Lasso,0.9886086627957835,0.27400681372623203
0,Sissili,RandomForest,0.8428672273601375,-1.896414212498585
1,Sissili,DecisionTree,1.0,-4.770006072951635
2,Sissili,RidgeCV,0.8619036023179569,0.9239785810880945
3,Sissili,Lasso,0.9888997703009357,-0.7721683946239646
0,Ziro,RandomForest,0.8011748960460959,-0.3467928866458234
1,Ziro,DecisionTree,1.0,-0.8420605291783005
2,Ziro,RidgeCV,0.8434051684346482,-0.2803431633628306
3,Ziro,Lasso,0.9907828025264216,-1.0382456251582348
0,Bazega,RandomForest,0.8408038452146519,-0.1615581651497049
1,Bazega,DecisionTree,1.0,-0.19819110647074134
2,Bazega,RidgeCV,0.9999578770291804,-0.2418964867493385
3,Bazega,Lasso,0.9922182623459325,0.11380917503869137
0,Nahouri,RandomForest,0.8123387315038797,-0.8491156928701655
1,Nahouri,DecisionTree,1.0,-3.8377760052571954
2,Nahouri,RidgeCV,0.8153336394573732,-0.4787813629307873
3,Nahouri,Lasso,0.9832554061070873,-0.31336505804553183
