,provinces,model,Score_train,score_test
0,Bale,RandomForest,0.8440733930784541,-289.04113765413547
1,Bale,DecisionTree,0.9996851729625037,-252.7856164680047
2,Bale,RidgeCV,0.85397265165681,-439.4156845914681
3,Bale,Lasso,0.99886161003411,-1757.8087997824634
0,Banwa,RandomForest,0.8524571665089145,-0.44000097225536994
1,Banwa,DecisionTree,1.0,-0.2942258789231873
2,Banwa,RidgeCV,0.866980839637592,-0.9350807164844579
3,Banwa,Lasso,0.9920551634435876,-2.2626835810779133
0,Kossi,RandomForest,0.7966757635184242,0.4398107259165924
1,Kossi,DecisionTree,0.9997315061730353,-119.44341548126737
2,Kossi,RidgeCV,0.706035955435244,-0.9123657540921344
3,Kossi,Lasso,0.9977883517729123,-37.41767089611713
0,Mouhoun,RandomForest,0.8571618067421116,-1.9877930657034946
1,Mouhoun,DecisionTree,0.9999975662084073,-5.137359424901646
2,Mouhoun,RidgeCV,0.803565410108174,0.32330332474868606
3,Mouhoun,Lasso,0.9960690227183079,-0.5601987180207988
0,Nayala,RandomForest,0.8502858750159206,-607.9306530799223
1,Nayala,DecisionTree,0.9999643491303212,-28907.923917969143
2,Nayala,RidgeCV,0.8470823824970524,-12989.419622215788
3,Nayala,Lasso,0.9983575891574542,-28530.566433698157
0,Sourou,RandomForest,0.8351972481120034,-0.8722108634210328
1,Sourou,DecisionTree,1.0,-1.0
2,Sourou,RidgeCV,0.7808025207526434,-0.9325331117765372
3,Sourou,Lasso,0.9951729831745089,-1.9658047594466175
0,Comoe,RandomForest,0.8902676424689278,-8.073177148529082
1,Comoe,DecisionTree,0.9998970498043388,-11.56337697063185
2,Comoe,RidgeCV,0.8115912798020943,-7.4317099000031295
3,Comoe,Lasso,0.9967341968659105,-9.32948493660232
0,Leraba,RandomForest,0.8541952678434213,-0.5151186299485608
1,Leraba,DecisionTree,0.9985644137129365,-31.979414886604594
2,Leraba,RidgeCV,0.8620434845807493,-0.5611884592882344
3,Leraba,Lasso,0.9984823062763345,-2.6697873924315036
0,Boulgou,RandomForest,0.8545585312137619,0.3831328695600572
1,Boulgou,DecisionTree,0.9980641610029913,-0.06222025037650103
2,Boulgou,RidgeCV,0.9999719023799001,0.5951670207970321
3,Boulgou,Lasso,0.9867233602079172,0.5855080703265971
0,Koulpelogo,RandomForest,0.7741673615791141,0.11531995293866559
1,Koulpelogo,DecisionTree,0.9995681321801246,0.1885288109543728
2,Koulpelogo,RidgeCV,0.6719015482088504,0.17938687208423998
3,Koulpelogo,Lasso,0.9916588646576456,-3.210869337275577
0,Kouritenga,RandomForest,0.8858305492601019,-0.6928435201803376
1,Kouritenga,DecisionTree,1.0,-1.3114797425803837
2,Kouritenga,RidgeCV,0.9999570120179931,0.05181738673878489
3,Kouritenga,Lasso,0.9931656190068798,-1.3714343982065964
0,Bam,RandomForest,0.8407229166666667,0.0
1,Bam,DecisionTree,1.0,1.0
2,Bam,RidgeCV,0.8405945160438668,0.0
3,Bam,Lasso,0.9723953402053384,0.0
0,Namentenga,RandomForest,0.8554559607763653,-5.122008348351644
1,Namentenga,DecisionTree,1.0,-7.2802095998098935
2,Namentenga,RidgeCV,0.8525588940869708,-5.7674316337632305
3,Namentenga,Lasso,0.9981724370713676,-8.03808770392544
0,Sanmatenga,RandomForest,0.8902009646126027,-0.30289503048744804
1,Sanmatenga,DecisionTree,1.0,-0.7498180484964243
2,Sanmatenga,RidgeCV,0.9999698116185586,-0.8637359222298175
3,Sanmatenga,Lasso,0.9987542511269155,0.8523856005912835
0,Boulkiemde,RandomForest,0.7873541695873935,-0.2572928524991407
1,Boulkiemde,DecisionTree,0.9999028963090048,-0.4793805561981124
2,Boulkiemde,RidgeCV,0.8239182415839299,0.33647944047914347
3,Boulkiemde,Lasso,0.9916043066144435,0.6678044594000059
0,Sanguie,RandomForest,0.9246472149984701,-26.101757598679576
1,Sanguie,DecisionTree,1.0,-196.3888328242228
2,Sanguie,RidgeCV,0.9256696469624854,-33.161711415568945
3,Sanguie,Lasso,0.9958189233985537,-33.969593950507296
0,Sissili,RandomForest,0.7766036577661528,-47.07291621128909
1,Sissili,DecisionTree,0.9997409301199922,-43.26011863752855
2,Sissili,RidgeCV,0.7635843369166173,-113.45848216031699
3,Sissili,Lasso,0.9966856785045485,-122.14222711352063
0,Ziro,RandomForest,0.8632052418793352,-1.3702863423862737
1,Ziro,DecisionTree,0.99993957887573,-1.629236962266451
2,Ziro,RidgeCV,0.888415794453456,-1.1023387344810933
3,Ziro,Lasso,0.9945103997555231,-0.5080618890587845
0,Bazega,RandomForest,0.8465258236485558,-0.0770003694404362
1,Bazega,DecisionTree,1.0,-0.9020350333386178
2,Bazega,RidgeCV,0.8652837456642603,-0.20740462732927
3,Bazega,Lasso,0.9893925574203551,-1.0577277860146088
0,Nahouri,RandomForest,0.8905938925429846,-0.9839342187266926
1,Nahouri,DecisionTree,0.9998523265808652,-0.07324981512298012
2,Nahouri,RidgeCV,0.9019819569732362,-1.7964527938232604
3,Nahouri,Lasso,0.9936061619743102,-2.3493305358334617
0,Zoundweogo,RandomForest,0.903076486720236,-2.6499098685410916
1,Zoundweogo,DecisionTree,1.0,-7.245346441053204
2,Zoundweogo,RidgeCV,0.9021672830512889,-5.009902880340396
3,Zoundweogo,Lasso,0.9880267026886684,-12.460942677766724
0,Kadiogo,RandomForest,0.8448631854905817,-0.3316770398222102
1,Kadiogo,DecisionTree,0.999923874682041,0.5388913971011319
