,province,model,Score_train,score_test
0,Bale,RandomForest,0.8360953658446761,0.3099743195505663
1,Bale,DecisionTree,1.0,0.7730006249275627
2,Bale,RidgeCV,0.8720907772506838,0.034732943916067516
3,Bale,Lasso,0.9944438926095621,0.2742165950858021
0,Banwa,RandomForest,0.8522717177852078,-0.5804873999505205
1,Banwa,DecisionTree,1.0,-0.30740423968840913
2,Banwa,RidgeCV,0.8582615225381732,-0.5840294325382478
3,Banwa,Lasso,0.9927588879929491,-1.8764417535737357
0,Kossi,RandomForest,0.8875717270810101,-0.05314112924658532
1,Kossi,DecisionTree,1.0,-0.3933801637811982
2,Kossi,RidgeCV,0.8588787642225174,-0.38315801041696207
3,Kossi,Lasso,0.9803958469972244,-0.34822146640289464
0,Mouhoun,RandomForest,0.8011369152998252,-151.49081939622553
1,Mouhoun,DecisionTree,1.0,-1071.506200082787
2,Mouhoun,RidgeCV,0.8183108018012129,-105.95107911128336
3,Mouhoun,Lasso,0.9987764002625891,-457.015248144535
0,Nayala,RandomForest,0.804820740008722,-0.482984297566766
1,Nayala,DecisionTree,1.0,-3.823373378313007
2,Nayala,RidgeCV,0.8488126672733136,-3.5911431129597657
3,Nayala,Lasso,0.9978695281092552,-36.726341478376376
0,Sourou,RandomForest,0.7884076024111026,0.13319231555298217
1,Sourou,DecisionTree,1.0,-2.3648560001811814
2,Sourou,RidgeCV,0.8235088480361291,-1.9956369741032116
3,Sourou,Lasso,0.9985761478067892,-4.075568219873424
0,Comoe,RandomForest,0.815789504813492,-0.002303351552258359
1,Comoe,DecisionTree,1.0,-4.107724071300889
2,Comoe,RidgeCV,0.7704349586585499,0.005345734610991304
3,Comoe,Lasso,0.9972312976477714,-0.2744432942123294
0,Leraba,RandomForest,0.8431471505760362,-0.6863592192473129
1,Leraba,DecisionTree,1.0,-5.266804910671481
2,Leraba,RidgeCV,0.8632139234698417,0.09082458839572005
3,Leraba,Lasso,0.9979125815834712,-7.106540706560182
0,Boulgou,RandomForest,0.8454672314790757,-0.21099892951467547
1,Boulgou,DecisionTree,1.0,-6.043631505378347
2,Boulgou,RidgeCV,0.8729465098779714,-1.4217448235936798
3,Boulgou,Lasso,0.9991389465684204,-10.557966833537035
0,Koulpelogo,RandomForest,0.813690691607614,-0.1811830403168977
1,Koulpelogo,DecisionTree,1.0,0.347450560735755
2,Koulpelogo,RidgeCV,0.9999685845489051,-1.1209500394985121
3,Koulpelogo,Lasso,0.9981429176835337,-2.9079887811815857
0,Kouritenga,RandomForest,0.8119095905710643,-2.7057501247477687
1,Kouritenga,DecisionTree,1.0,-6.232362469908488
2,Kouritenga,RidgeCV,0.9999843577651715,-8.956348199076029
3,Kouritenga,Lasso,0.9985529717882501,-20.477454909505344
0,Bam,RandomForest,0.8479907429342384,-2.4683933637496285
1,Bam,DecisionTree,1.0,-13.345458873403885
2,Bam,RidgeCV,0.9173614125317754,-5.273671263516291
3,Bam,Lasso,0.9979432248084942,-5.665640785209475
0,Namentenga,RandomForest,0.8054515122352346,-3.2867164418594887
1,Namentenga,DecisionTree,1.0,-211.07624429264337
2,Namentenga,RidgeCV,0.8927044513151198,-32.18299923724298
3,Namentenga,Lasso,0.9995019194778423,-108.98991789233744
