,province,model,Score_train,score_test
0,Bale,RandomForest,0.8559392134546591,-6.519802237413857
1,Bale,DecisionTree,1.0,-0.6815322714884073
2,Bale,RidgeCV,0.9999492456999148,-10.374539653248174
3,Bale,Lasso,0.9925109301661569,-3.598545297740616
0,Banwa,RandomForest,0.818997961409864,-0.4401826022568369
1,Banwa,DecisionTree,1.0,-0.09208040520182736
2,Banwa,RidgeCV,0.7262508080236895,-0.1646686720649544
3,Banwa,Lasso,0.914448194492778,0.6097214168807774
0,Kossi,RandomForest,0.8966031160208509,-5.854574747666428
1,Kossi,DecisionTree,1.0,-23.959162310917513
2,Kossi,RidgeCV,0.9999747213512127,-4.234594542641567
3,Kossi,Lasso,0.9901857728992561,-6.94871837560843
0,Mouhoun,RandomForest,0.8128825127840265,-69.88296579821925
1,Mouhoun,DecisionTree,1.0,-108.17401202451822
2,Mouhoun,RidgeCV,0.8464913567959559,-117.54329106205037
3,Mouhoun,Lasso,0.9978732946365657,-388.1964304602575
0,Nayala,RandomForest,0.7803034250479437,-0.06195361315662873
1,Nayala,DecisionTree,1.0,0.6104566827199167
2,Nayala,RidgeCV,0.7875248325993186,-1.7518754277930335
3,Nayala,Lasso,0.9875226724350805,-7.680309486548214
0,Sourou,RandomForest,0.8516031846432566,-0.9496793765719624
1,Sourou,DecisionTree,1.0,-1.3429737864779066
2,Sourou,RidgeCV,0.8629430514110398,-3.529167479063747
3,Sourou,Lasso,0.9982873750325113,-2.883602618974981
0,Comoe,RandomForest,0.8572698138673831,-0.01145981387124162
1,Comoe,DecisionTree,1.0,-0.7775354764632809
2,Comoe,RidgeCV,0.8875194277074449,-0.17582128462083224
3,Comoe,Lasso,0.9992468444065895,-4.4428972594314295
0,Leraba,RandomForest,0.8267396256800995,-10.612204624373316
1,Leraba,DecisionTree,1.0,-5.106989360279638
2,Leraba,RidgeCV,0.7457781411194484,-3.4347667421188994
3,Leraba,Lasso,0.995507181241281,-56.30336644371774
0,Boulgou,RandomForest,0.8324451539859437,-1.536240886101604
1,Boulgou,DecisionTree,1.0,-3.3207268430702923
2,Boulgou,RidgeCV,0.8286751549300653,-1.7339711458570863
3,Boulgou,Lasso,0.9879850485751386,-4.02048717190587
0,Koulpelogo,RandomForest,0.8074630211715763,-10.71092404045968
1,Koulpelogo,DecisionTree,1.0,-27.243940894848546
2,Koulpelogo,RidgeCV,0.833732372240146,-13.986293448794811
3,Koulpelogo,Lasso,0.9955409376028135,-23.533754659033825
0,Kouritenga,RandomForest,0.8535862783933492,-0.5900473593581204
1,Kouritenga,DecisionTree,1.0,-1.8940800381841725
2,Kouritenga,RidgeCV,0.9958895325638363,-1.2096826874239306
3,Kouritenga,Lasso,0.9943644382833845,-1.6962650602028875
0,Bam,RandomForest,0.8226369076465105,-11.155404288079676
1,Bam,DecisionTree,1.0,-9.970240296371896
2,Bam,RidgeCV,0.8164180848164573,-11.674113289682476
3,Bam,Lasso,0.9495555006338966,-6586.230390642907
0,Namentenga,RandomForest,0.8745368742543094,-3.584290475835261
1,Namentenga,DecisionTree,1.0,-4.900488478779154
2,Namentenga,RidgeCV,0.9109613283279028,-3.1852987211338863
3,Namentenga,Lasso,0.9905426397292337,-2.291508688506504
0,Sanmatenga,RandomForest,0.8614747033923533,-0.2180126696383513
1,Sanmatenga,DecisionTree,1.0,-0.976735185793272
2,Sanmatenga,RidgeCV,0.8504303079219475,0.26050381313337145
3,Sanmatenga,Lasso,0.9901548269824285,-0.017591763669371208
0,Boulkiemde,RandomForest,0.8566061901279343,0.11787594770173615
1,Boulkiemde,DecisionTree,1.0,-0.481673761973898
2,Boulkiemde,RidgeCV,0.8497536157891372,0.14637413889926243
3,Boulkiemde,Lasso,0.9777088299397093,-2.734187708132158
0,Sanguie,RandomForest,0.8728753318423499,0.6971671220168943
1,Sanguie,DecisionTree,1.0,-3.654221803510806
2,Sanguie,RidgeCV,0.8902136149281665,0.5399179770133015
3,Sanguie,Lasso,0.990659896784124,-1.1802259279806795
0,Sissili,RandomForest,0.8152007952058797,-0.2828708351972937
1,Sissili,DecisionTree,1.0,-4.474237950641972
2,Sissili,RidgeCV,0.9999732793283777,-1.5430468954056877
3,Sissili,Lasso,0.9901123606923927,-1.335013644659628
0,Ziro,RandomForest,0.8213939924654232,-0.22846433313239212
1,Ziro,DecisionTree,1.0,-0.14809410494660402
2,Ziro,RidgeCV,0.8730317452857351,-0.5067894438363445
3,Ziro,Lasso,0.9872248965996923,-0.9590599007103804
0,Bazega,RandomForest,0.8375987712322142,-2.6114118055504556
1,Bazega,DecisionTree,1.0,-7.617499740244417
2,Bazega,RidgeCV,0.9999675679629394,-1.3973865970771575
3,Bazega,Lasso,0.9874407605441312,-1.3875335738628665
0,Nahouri,RandomForest,0.8563033227215882,-0.6631098077853763
1,Nahouri,DecisionTree,1.0,-0.3606550387297702
2,Nahouri,RidgeCV,0.8497270565547856,-1.9117946502196679
3,Nahouri,Lasso,0.9901597372090478,-5.532035080211323
0,Zoundweogo,RandomForest,0.8356810405338568,-1.8341522914538322
1,Zoundweogo,DecisionTree,1.0,-2.355770840614797
2,Zoundweogo,RidgeCV,0.8247451203953753,-3.6151251420530244
3,Zoundweogo,Lasso,0.9866067292609242,-5.976749703771285
0,Kadiogo,RandomForest,0.8662301830769732,-0.8965815242760167
1,Kadiogo,DecisionTree,1.0,-0.8999675321341356
2,Kadiogo,RidgeCV,0.8880391897758771,0.7267101404992626
3,Kadiogo,Lasso,0.979766398778181,0.8748133154074301
0,Gnagna,RandomForest,0.8544234801011454,-2.8763834293965753
1,Gnagna,DecisionTree,1.0,-1.3486677714171829
2,Gnagna,RidgeCV,0.8765541184018568,-2.3390851940462336
3,Gnagna,Lasso,0.991892733335863,-10.658087010138239
0,Gourma,RandomForest,0.8409535826377952,0.1817015018956082
1,Gourma,DecisionTree,1.0,-0.18721207572438314
2,Gourma,RidgeCV,0.8893309391897497,-0.46002288442804473
3,Gourma,Lasso,0.9947520057522645,-1.7307821953822091
0,Komandjoari,RandomForest,0.8751426345485633,-5.114858441976391
