,province,model,Score_train,score_test
0,Bale,RandomForest,0.9086151598260467,-1.6100308973562756
1,Bale,DecisionTree,1.0,-12.957456163598087
2,Bale,RidgeCV,0.9144665086565513,-7.057915074398835
3,Bale,Lasso,0.9951260594132556,-7.030559053695674
0,Banwa,RandomForest,0.8479282624646374,-1.2540979016569973
1,Banwa,DecisionTree,1.0,-5.032802355038391
2,Banwa,RidgeCV,0.8328565021739912,-1.164112955951671
3,Banwa,Lasso,0.9867747963068356,-2.3625202818484676
0,Kossi,RandomForest,0.8656729490455205,-1.178734003515955
1,Kossi,DecisionTree,1.0,-1.3331065313265391
2,Kossi,RidgeCV,0.8576947540410725,-2.127637679688173
3,Kossi,Lasso,0.9896684177331544,-4.775038933579473
0,Mouhoun,RandomForest,0.7846032770995472,-112.8081331542898
1,Mouhoun,DecisionTree,1.0,-863.4667875935505
2,Mouhoun,RidgeCV,0.8096492750046635,-54.15490184202681
3,Mouhoun,Lasso,0.9986631666257313,-60.48261010557411
0,Nayala,RandomForest,0.8200922894055998,-3.164651636384625
1,Nayala,DecisionTree,1.0,-10.654017693190342
2,Nayala,RidgeCV,0.853558895452486,-6.285670571984409
3,Nayala,Lasso,0.997081533857575,-14.93084950289892
0,Sourou,RandomForest,0.7890395168864621,0.0684236170467577
1,Sourou,DecisionTree,1.0,-1.2676431521957272
2,Sourou,RidgeCV,0.8415383934633225,-0.7271973640829485
3,Sourou,Lasso,0.998553450355615,-2.8373128614215313
0,Comoe,RandomForest,0.8153547125972718,-0.5332739902115178
1,Comoe,DecisionTree,1.0,-5.805580481049448
2,Comoe,RidgeCV,0.8342658582651694,-2.873913261008396
3,Comoe,Lasso,0.9983946112992015,-4.319252522450354
0,Leraba,RandomForest,0.869717382910648,-27.990782766347067
1,Leraba,DecisionTree,1.0,-22.092744408403
2,Leraba,RidgeCV,0.8112239571750177,-13.34773339895145
3,Leraba,Lasso,0.9977369935069749,-4.406830149602685
0,Boulgou,RandomForest,0.836131424003236,-1.8911661850917874
1,Boulgou,DecisionTree,1.0,-6.3196404032053755
2,Boulgou,RidgeCV,0.8330989761447404,-0.5792488393304065
3,Boulgou,Lasso,0.9987760700451666,-1.9413219601424663
0,Koulpelogo,RandomForest,0.8084559183562848,-1.3439558151596622
1,Koulpelogo,DecisionTree,1.0,-0.6981109487141612
2,Koulpelogo,RidgeCV,0.9999593945893318,-2.258475257940242
3,Koulpelogo,Lasso,0.9966942756218382,-2.2846274972773477
0,Kouritenga,RandomForest,0.8147955286328091,-0.6075089570139303
1,Kouritenga,DecisionTree,1.0,-4.438067284309288
2,Kouritenga,RidgeCV,0.9999742370682383,-0.6746611567788341
3,Kouritenga,Lasso,0.9977899964071211,-0.5412530822980488
0,Bam,RandomForest,0.8062458557277397,-0.44528434721101307
1,Bam,DecisionTree,1.0,0.6526441600924446
2,Bam,RidgeCV,0.9075771063238403,-1.8573999004807153
3,Bam,Lasso,0.9971575721038749,-3.1723145052595907
0,Namentenga,RandomForest,0.8464454149431234,-51.1872661813939
1,Namentenga,DecisionTree,1.0,-9.559896878199599
2,Namentenga,RidgeCV,0.8687021101079423,-36.913139460629765
3,Namentenga,Lasso,0.9993583792470306,-167.59584047706903
0,Sanmatenga,RandomForest,0.8304109314164321,-0.305338370479441
1,Sanmatenga,DecisionTree,1.0,-2.4611518669712136
2,Sanmatenga,RidgeCV,0.8946686234575597,-3.347571969107567
3,Sanmatenga,Lasso,0.9962422274066626,-12.17517609442243
0,Boulkiemde,RandomForest,0.7820842919682109,-1.604682009367779
1,Boulkiemde,DecisionTree,1.0,-3.477648630554179
2,Boulkiemde,RidgeCV,0.7482694911800121,-4.506273920062021
3,Boulkiemde,Lasso,0.983395359919241,-20.189586974587495
0,Sanguie,RandomForest,0.9131677717456614,-0.2181070389568709
1,Sanguie,DecisionTree,1.0,0.1788151168965424
2,Sanguie,RidgeCV,0.9565668053264408,-0.1229192214004673
3,Sanguie,Lasso,0.9945981181197046,-0.3392397172729964
0,Sissili,RandomForest,0.7714707850807027,-20.806103930053332
1,Sissili,DecisionTree,1.0,-82.1271842859292
2,Sissili,RidgeCV,0.7402001953325412,-49.76325096902548
3,Sissili,Lasso,0.9952565216960741,-56.27236761233152
0,Ziro,RandomForest,0.8493452572505291,-0.17659962666706597
1,Ziro,DecisionTree,1.0,0.8822712573524404
2,Ziro,RidgeCV,0.9156628229201419,0.33401755171819303
3,Ziro,Lasso,0.9959825110687895,0.8538813245617239
0,Bazega,RandomForest,0.8545409227935205,0.05806782239117636
1,Bazega,DecisionTree,1.0,-0.6737843732419626
2,Bazega,RidgeCV,0.9999730754130569,-0.11761125890774982
3,Bazega,Lasso,0.9946870506281866,0.25809154909973053
0,Nahouri,RandomForest,0.7650112114609917,-0.35492976226852413
1,Nahouri,DecisionTree,1.0,-0.2296252533832983
2,Nahouri,RidgeCV,0.8449867450678514,0.5378245888193987
3,Nahouri,Lasso,0.9934303272405387,0.06577046570338152
0,Zoundweogo,RandomForest,0.8047946670400896,-3.575085498550875
1,Zoundweogo,DecisionTree,1.0,-6.12980941737194
2,Zoundweogo,RidgeCV,0.997234437717554,-13.930361254340234
3,Zoundweogo,Lasso,0.9992396314933708,-36.163618760980775
0,Kadiogo,RandomForest,0.8620463715542069,-0.2137273293102666
1,Kadiogo,DecisionTree,1.0,0.6642025822507092
2,Kadiogo,RidgeCV,0.9999761903050367,-0.4467023673062771
3,Kadiogo,Lasso,0.9975024583565228,-0.34337348090724085
0,Gnagna,RandomForest,0.8447767175005407,-0.031156665434166397
1,Gnagna,DecisionTree,1.0,0.4297477837883461
2,Gnagna,RidgeCV,0.999992569134919,-0.2000070154851945
3,Gnagna,Lasso,0.9985037189185322,0.2065560237563142
0,Gourma,RandomForest,0.8398839315826804,-0.5655368632852207
1,Gourma,DecisionTree,1.0,-0.36721782293003824
2,Gourma,RidgeCV,0.8836632119926111,-1.1390239159459674
3,Gourma,Lasso,0.9928276291719573,-1.1310229217714842
0,Komandjoari,RandomForest,0.782139600251492,-1.31975993472508
1,Komandjoari,DecisionTree,1.0,-2.0208603306231794
2,Komandjoari,RidgeCV,0.824319544769534,-2.0634480149779626
