province,year,driver.TSA,Driver.TNA,sahel_rainfall,QBO,NAO,gmsst,EA,AMM_sst,Driver.NTA,AMO_sst,Driver.AO,PDO,PRCPTOT,R10mm,R1mm,R20mm,R5mm,R95pTOT,R99pTOT,RX1day,RX5day,SDII,CWD,CDD,TNn,TNx,TXx,TXn,Chirts_Tmax_Temp,Chirts_Tmin_Temp,ERA5_Pressure,ERA5_wins,chirps_Prec,ERA5_soil_moisture,NDVI,sorgho
Bale,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,665.6273404,27,61,10,40,102.9261453,0,54.47842407,36.29253944,10.91192361,11,11,22.36789809,25.07545197,34.787297,27.41890412,30.63492246,23.67967757,101230.9542,2.166261305,970.8038507,0.391509703,0.149063929,1021.12766
Banwa,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,650.240922,25,59,10,40,117.0245313,44.56133627,75.91764069,44.56133627,11.02103258,8,9,22.28191737,25.56181765,34.73640792,27.71813379,30.91656542,23.86345461,101233.736,2.125180181,952.7044897,0.342939735,0.140672811,1151.428571
Bale,2004,-0.153333333,0.3,1.333333333,11.72666667,0.25,0.64,0.24,1.613333333,0.15,0.085,-0.246333333,0.496666667,466.948457,20,45,4,34,66.51305351,0,51.7437973,37.00380224,10.37663238,7,16,21.940612,25.40248733,35.16009393,27.95500536,30.95085468,23.57725874,101217.1807,2.198681891,685.9411444,0.362600873,0.310957772,991.8256223
Kossi,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,627.9553354,27,57,6,41,79.56936434,42.97432838,63.03726578,42.97432838,11.01676027,8,15,22.7451242,26.17538114,35.69025972,28.28136652,31.689168,24.24946723,101192.5439,2.105460699,857.4855146,0.314432076,0.112219626,1083.181818
Bale,2005,-0.01,0.913333333,61.66666667,-14.10666667,-0.44,0.81,-0.32,4.65,0.726666667,0.292,-0.397333333,1.353333333,525.8084279,19,50,5,38,105.2776969,45.58202877,64.92256165,45.58202877,10.51616856,6,12,22.61295482,25.56249716,34.61279477,27.18753587,31.14454934,24.07901188,101228.7215,2.395108949,767.8447417,0.362434799,0.303559337,1197.731728
Mouhoun,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,602.5209514,26,54,9,38,117.4806526,0,47.64332199,30.92511834,11.1577954,9,11,22.35412171,25.3826688,34.98186531,28.15133457,30.93169654,23.82781982,101218.7136,2.159049979,904.0366619,0.349711074,0.133482431,984.3940426
Bale,2006,0.32,0.453333333,-22.66666667,8.943333333,0.446666667,0.666666667,-0.953333333,0.733333333,0.316666667,0.267333333,0.455,0.64,610.1854556,23,57,6,44,106.7179078,0,63.80644989,36.50557952,10.70500799,7,7,22.65605174,25.52465425,35.2185565,27.27411743,31.3069061,24.17266528,101209.2961,2.339601732,911.359224,0.375109559,0.291719384,979.3488372
Nayala,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,647.8609062,29,58,12,40,90.65038722,0,53.44517517,34.62665097,11.17001562,8,7,22.6697003,25.57995222,35.52882172,28.59319287,31.35004023,24.03005945,101195.9226,2.092913201,914.1047006,0.277857433,0.11619727,1251.450382
Bale,2007,0.316666667,0.256666667,-56,-13.52333333,-0.103333333,0.903333333,0.556666667,0.103333333,0.18,0.107,0.294333333,0.05,590.1050538,21,58,8,36,134.6230138,39.15636063,55.79725647,39.15636063,10.17422507,8,8,22.70981443,25.79740647,34.92978685,27.76621981,30.98666554,23.9877309,101181.6714,2.351827664,835.9977451,0.366791324,0.323704616,1183.405759
Sourou,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,553.6464006,23,55,5,42,80.00682025,32.09598642,49.39854431,32.09598642,10.06629819,8,11,22.95580087,26.1493374,36.62635492,29.07112613,32.0370667,24.34517432,101175.503,2.152296671,752.6718341,0.272460941,0.1158007,711.5804762
Bale,2008,0.72,0.253333333,70,10.47,-1.316666667,0.626666667,0.13,-1.033333333,0.093333333,0.144666667,-0.583333333,-1.41,685.4710914,31,50,10,38,83.0417969,51.56357587,75.08177948,51.56357587,13.70942183,7,5,22.01977282,25.28625328,35.02839413,26.84400069,30.58263404,23.40283496,101158.6617,2.300273893,880.8866887,0.388809323,0.321518175,1072.750444
Comoe,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,748.7088047,27,60,15,41,222.4907414,46.4971085,66.33558655,46.4971085,12.47848008,8,10,21.98908319,24.45241569,33.43034155,26.38031399,29.87187561,23.0952065,101286.6828,2.042023021,1159.084364,0.395786241,0.247063891,770
Bale,2009,0.633333333,-0.163333333,-18.66666667,1.733333333,0.113333333,0.826666667,0.9,-4.306666667,-0.213333333,-0.036,0.272,-0.946666667,627.662876,26,56,7,41,70.15034157,0,69.92995453,36.62197092,11.20826564,7,9,22.1977517,25.56605594,35.1206615,26.23732302,31.02764444,23.71100284,101225.2946,2.186137183,925.5391924,0.353146588,0.329937546,1227.602044
Leraba,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,794.9237913,30,55,16,44,216.7086327,43.80659741,60.16687012,43.80659741,14.45315984,11,7,21.72809222,24.36304327,33.30173365,25.82383837,29.76236742,23.06420657,101309.6053,1.946015252,1270.387202,0.384850587,0.253107334,1010.588235
Bale,2010,0.716666667,1.286666667,79.66666667,-24.96666667,-0.926666667,0.97,-1.543333333,5.193333333,1,0.431666667,-0.402333333,0.393333333,736.4399787,29,56,12,40,252.2760287,87.3337221,66.26018524,47.8810259,13.15071391,7,7,21.7034586,25.18339028,36.05871064,25.75348141,30.73752188,23.6711594,101155.6626,2.390870304,1042.837646,0.405579952,0.305577012,1481.827586
Boulgou,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,666.8662262,29,56,9,38,186.7427684,79.24849181,81.69797516,39.94117719,11.90832547,6,13,23.15840617,26.37670492,35.38821784,27.63554333,31.42226139,24.70849415,101221.6634,2.329173836,941.4484307,0.403713618,0.153090449,1228.888889
Bale,2011,0.33,0.443333333,-34,8.21,0.52,0.76,-0.206666667,0.996666667,0.346666667,0.127666667,0.460666667,-0.493333333,460.4888594,20,46,6,32,34.30766782,0,53.16487122,34.30766782,10.01062738,5,10,22.21673116,25.23096245,35.05274733,26.98569885,31.33819596,23.59608062,101190.4222,2.293079488,773.1773779,0.354834911,0.335993478,1259.435028
Koulpelogo,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,685.8108895,26,51,12,40,187.5669554,85.28712216,79.74744415,44.72578179,13.44727234,7,8,23.24491302,26.42404445,35.43673565,27.19701306,31.29316236,24.71508607,101225.5723,2.423185452,956.1707651,0.417335312,0.17490422,1035.555556
Bale,2012,-0.11,0.076666667,41,-21.85,-0.89,0.883333333,-0.683333333,-0.533333333,0.016666667,0.168333333,-0.179666667,-0.8,716.296792,27,55,15,43,185.1790623,50.55830754,75.18655396,50.55830754,13.02357804,5,6,22.124525,24.90095326,34.43477764,26.66840987,30.72448617,23.48577013,101256.6687,2.182418277,1019.687273,0.392886634,0.309979434,1278.6264
Kouritenga,2003,0.296666667,0.093333333,63.66666667,-13.3,-0.013333333,0.736666667,0.416666667,-1.136666667,0.02,0.133,0.245666667,0.916666667,556.397303,22,46,6,38,105.9365314,39.16235573,54.15207291,39.16235573,12.09559354,5,9,23.45335798,26.90374813,36.13159764,28.34750371,32.15606748,24.97390377,101211.4638,2.292370091,786.202828,0.347376882,0.099045531,827.168
